Date,Price1,Price2,Price3
09-07-2003,164.300003,134.21,4.35
10-07-2003,167,144.54,4.38
11-07-2003,173.350006,139,4.3
14-07-2003,177.949997,116.99,3.8
15-07-2003,176.199997,105.21,3.37
16-07-2003,177.100006,97.75,3.04
17-07-2003,172.199997,112.5,3.48
18-07-2003,167.399994,115.91,3.59
21-07-2003,164.899994,112.3,3.37
22-07-2003,167.25,111.5,3.33
23-07-2003,174.699997,113.57,3.41
24-07-2003,174.100006,112.67,3.42
25-07-2003,173.649994,117.2,3.44
28-07-2003,178.850006,115.24,3.35
29-07-2003,180.300003,115,3.27
30-07-2003,181.100006,117.98,3.28
31-07-2003,180.850006,111.5,2.82
01-08-2003,187.149994,114.22,2.94
04-08-2003,197.600006,118.76,2.92
05-08-2003,193.600006,123.02,3.19
06-08-2003,191.600006,123.5,3.29
07-08-2003,195.399994,121.99,3.3
08-08-2003,197.149994,122,3.18
11-08-2003,202.199997,122.88,3.09
12-08-2003,210.449997,123.89,3.12
13-08-2003,217.800003,126.7,3.18
14-08-2003,216.550003,133.2,3.18
15-08-2003,216.6,131.98,3.12
18-08-2003,216.899994,133.48,3.25
19-08-2003,215.649994,129.75,3.1
20-08-2003,225,129,3.09
21-08-2003,227.949997,132.3,3.1
22-08-2003,229.300003,128.8,2.97
25-08-2003,221.050003,129,2.96
26-08-2003,232.449997,129.3,2.83
27-08-2003,234.300003,122.29,2.73
28-08-2003,228.050003,122.22,2.73
29-08-2003,235.399994,121.42,2.87
01-09-2003,235.550003,121.65,2.86
02-09-2003,226.550003,118,2.75
03-09-2003,222.800003,111.5,2.6
04-09-2003,221.550003,108.3,2.56
05-09-2003,229.300003,100,2.38
08-09-2003,228.75,106.35,2.49
09-09-2003,228.199997,108.9,2.4
10-09-2003,227.800003,108.15,2.38
11-09-2003,225.649994,104,2.27
12-09-2003,220.350006,99.98,2.13
15-09-2003,208.350006,99.99,2.11
16-09-2003,208.5,99.51,2.13
17-09-2003,216.050003,101.7,2.28
18-09-2003,205.600006,107.4,2.31
19-09-2003,205.75,108.25,2.3
22-09-2003,210.699997,110.15,2.29
23-09-2003,213.149994,109.5,2.87
24-09-2003,219.949997,108.3,2.92
25-09-2003,213.699997,107.6,3.12
26-09-2003,214.800003,102.74,2.87
29-09-2003,227.199997,103.95,2.82
30-09-2003,232.550003,104,2.86
01-10-2003,228.449997,101.44,3.02
02-10-2003,230,94.65,2.75
03-10-2003,234.399994,94.99,2.79
06-10-2003,241.300003,96.61,2.98
07-10-2003,237.550003,88.05,2.95
08-10-2003,240.25,90.13,2.83
09-10-2003,258.049988,77.53,2.62
10-10-2003,269.100006,80.53,2.73
13-10-2003,276.100006,68.43,2.43
14-10-2003,264.899994,70.28,2.52
15-10-2003,270.5,74.56,2.66
16-10-2003,276.200012,76.52,2.61
17-10-2003,282.299988,76.69,2.61
20-10-2003,274.75,86.76,2.81
21-10-2003,261.25,88.98,2.73
22-10-2003,263.700012,93.59,2.79
23-10-2003,263.799988,98.13,2.9
24-10-2003,285,94.69,2.91
27-10-2003,283.200012,98.4,2.98
28-10-2003,286.299988,97.45,3.1
29-10-2003,305,98.5,3.15
30-10-2003,305.899994,90.58,2.89
31-10-2003,322.299988,92.17,2.96
03-11-2003,347.600006,89.39,2.86
04-11-2003,349.5,90.76,2.92
05-11-2003,336.100006,91.61,2.89
06-11-2003,338.450012,95.56,2.99
07-11-2003,333.25,94.51,2.94
10-11-2003,341.700012,96.9,2.97
11-11-2003,340.700012,96.02,2.9
12-11-2003,342.950012,94.12,2.88
13-11-2003,346.75,99.76,2.98
14-11-2003,329.299988,101.2,2.96
17-11-2003,350,107.99,2.99
18-11-2003,344.049988,106.09,2.87
19-11-2003,330.600006,104,2.91
20-11-2003,323.049988,104.5,2.84
21-11-2003,324.049988,104,2.96
24-11-2003,327.25,105.14,3.01
25-11-2003,327,106,2.83
